Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",2017-01-06 20:34:08+00:00,Invierno,Pop
James Blunt,7KMqksf0UMdyA0UCf4R3ux,['neo mellow'],2017-01-06 20:34:35+00:00,Invierno,Rock & Indie
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",2017-01-06 20:35:57+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-06 21:13:00+00:00,Invierno,Pop
Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"['dance pop', 'pop']",2017-01-06 21:13:00+00:00,Invierno,Pop
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",2017-01-06 21:13:19+00:00,Invierno,Pop
Major Lazer,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance']",2017-01-06 21:13:19+00:00,Invierno,Pop
MØ,0bdfiayQAKewqEvaU6rXCv,"['dance pop', 'danish pop', 'electropop', 'pop dance']",2017-01-06 21:13:19+00:00,Invierno,Pop
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['hip pop', 'pop', 'queens hip hop', 'rap']",2017-01-06 21:13:34+00:00,Invierno,Pop
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop'],2017-01-06 21:13:34+00:00,Invierno,Pop
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,"['modern rock', 'pop', 'pov: indie', 'rock']",2017-01-06 21:13:45+00:00,Invierno,Pop
Capital Cities,4gwpcMTbLWtBUlOijbVpuu,"['metropopolis', 'modern rock']",2017-01-06 21:14:51+00:00,Invierno,Rock & Indie
Miike Snow,4l1cKWYW591xnwEGxpUg3J,"['alternative dance', 'electropop', 'indietronica', 'neo-synthpop', 'shimmer pop', 'swedish electropop', 'swedish indie pop', 'swedish synthpop']",2017-01-06 21:15:30+00:00,Invierno,EDM & Disco
Owl City,07QEuhtrNmmZ0zEcqE9SF6,"['indietronica', 'pop']",2017-01-06 21:15:53+00:00,Invierno,Pop
Fleur East,37mtx80nMDETlbsq2eFCzc,"['talent show', 'uk pop']",2017-01-06 21:48:21+00:00,Invierno,Pop
Jain,2HHmvvSQ44ePDH7IKVzgK0,['french pop'],2017-01-06 21:48:38+00:00,Invierno,Pop
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",2017-01-06 21:49:00+00:00,Invierno,Pop
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['hip pop', 'pop']",2017-01-06 21:49:00+00:00,Invierno,Pop
Santaflow,3uvTa6pDzj0T6EfMslXOCs,['latin viral pop'],2017-01-06 22:52:45+00:00,Invierno,Pop
Shé,5GdP5J5VnVvhY0HzsYMcUK,"['rap romantico', 'spanish hip hop']",2017-01-06 23:01:36+00:00,Invierno,Hip hop
Santaflow,3uvTa6pDzj0T6EfMslXOCs,['latin viral pop'],2017-01-06 23:01:36+00:00,Invierno,Pop
Arnau Griso,5gnF05YcUt010aB7EWk96U,['spanish rock'],2017-01-06 23:05:31+00:00,Invierno,Rock & Indie
Costa,7rAjVJgwZhvmMIt5vfyNGn,"['rap underground espanol', 'spanish hip hop', 'urbano espanol']",2017-01-06 23:06:33+00:00,Invierno,Reggateon
Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,"['danish pop', 'scandipop']",2017-01-07 10:43:28+00:00,Invierno,Pop
Olly Murs,3whuHq0yGx60atvA2RCVRW,"['dance pop', 'pop', 'talent show', 'uk pop']",2017-01-07 10:44:01+00:00,Invierno,Pop
Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",2017-01-07 10:44:01+00:00,Invierno,Pop
Sean Kingston,6S0dmVVn4udvppDhZIWxCr,"['dance pop', 'miami hip hop', 'pop']",2017-01-07 10:44:42+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-07 13:39:22+00:00,Invierno,Pop
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",2017-01-07 13:39:36+00:00,Invierno,Pop
Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",2017-01-08 21:26:18+00:00,Invierno,Pop
DVBBS,5X4LWwbUFNzPkEas04uU82,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",2017-01-08 21:26:21+00:00,Invierno,EDM & Disco
